,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
9,Level 1,,Split-NN,"(3, 'donovan', 11)",0.5761308448468432,6.931316352388111,0.4428569286880226,13.189708919145467,-1.8418093294403208,-0.15309114619355824,-4.848901611275451,-0.16280644919789294
21,Level 1,,Split-NN,"(4, 'elcajon', 11)",0.3785553566851319,7.316287882891051,0.4267650618115025,7.630350926007821,-1.6890581823553523,-0.0873943224922431,-0.6047436545579208,-0.03382327570778626
9,Level 2,,Split-NN,"(3, 'donovan', 11)",0.2569296965020258,3.0910704099726236,0.13757583988849734,4.097452619318857,1.377464827975936,0.11449484264488391,3.3734276671434893,0.11326601860438598
2,Level 2,,Split-NN,"(2, 'donovan', 20)",0.5641682543009997,5.945517409849782,0.2430142046222021,10.299181747282372,0.055645760648301845,0.005280208513424589,-2.2503235097344803,-0.05309747815694835
10,Level 1,,Split-NN,"(3, 'donovan', 12)",0.5480244342873531,6.586210487134171,0.421257368194284,12.564310802164293,-1.364157815025746,-0.11350864299258867,-1.8480019002699457,-0.06195997768470135
22,Level 1,,Split-NN,"(4, 'elcajon', 12)",0.4094055055701216,7.912524513773999,0.4734950138222232,8.46585965084058,-0.8407941545924755,-0.04350391020490524,-0.7592830283763661,-0.042466653457968906
8,Level 2,,Split-NN,"(2, 'shafter', 13)",0.3874330090864248,5.229391857566107,0.3250514625002521,10.300753386678467,0.942441446460621,0.0698232099324726,0.4587679778370948,0.0144769218858386
25,Level 2,,Split-NN,"(4, 'shafter', 18)",0.37400352575655615,4.634005787826736,0.277693264690002,5.5688755450303935,0.6556814060880294,0.052919044316719954,2.45327856562919,0.12233330204183174
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.5793128870483061,9.246614311677767,0.6245900748335215,14.080464070876866,-2.8577706237345053,-0.1790431929735244,-1.299301969813035,-0.0576352533887986
25,Level 1,,Split-NN,"(4, 'shafter', 18)",0.6273446890110737,7.772971963189352,0.467208417058541,9.369422521263424,-0.9047679931987318,-0.07302244212489573,3.941656149154417,0.1965515938528909
4,Level 1,,Split-NN,"(2, 'elcajon', 19)",0.5367422671063403,6.037073501045301,0.2482615676826015,9.572917870697543,-1.7157165314614238,-0.15254039571474176,-0.1603955717611747,-0.004159657131987349
19,Level 1,,Split-NN,"(4, 'donovan', 19)",0.5524868308780722,4.56528591830828,0.2350046316678201,8.366714605811046,1.1245678828613084,0.13609420238448966,4.064653230446266,0.11416815085517595
21,Level 2,,Split-NN,"(4, 'elcajon', 11)",0.21062596442007986,4.070739362408806,0.32721606313506585,5.850463437070396,0.26043733031096217,0.013475405567424381,0.3842577888890313,0.021491514691392655
15,Level 1,,Split-NN,"(3, 'shafter', 17)",0.3828179135807789,5.2400726304150815,0.3553062962433449,8.02774724734325,-0.039719869888227066,-0.0029017685041336505,3.6003940889018864,0.1593526364656686
18,Level 1,,Split-NN,"(4, 'donovan', 17)",0.9610294272400894,7.710715638440952,0.4624253711136108,16.77170848916149,0.5463422562958904,0.06809367771617869,-3.3435973780503794,-0.09218883451251436
1,Level 1,,Split-NN,"(2, 'donovan', 18)",0.6084586008116242,6.383424272068503,0.2353078137772813,10.005766069937595,-0.0470010440991544,-0.004480070305586947,0.21746237833826676,0.005114110850475279
13,Level 1,,Split-NN,"(3, 'elcajon', 18)",0.3118704492111408,4.977872620369737,0.297703520409852,6.7112877578494405,1.4109710675735245,0.08839924486364087,6.069874343214391,0.2692513010348709
