,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
18,"(2, 'donovan', 15)",1.0821555156134228,11.494725110187106,-7.730680336137821,218.2271496504303,-0.6545001285149703,12.588237816206105,14.772513315290338,0.30757528519025357,13.205812502389906,7.660414306149966,294.2389576619996,-0.011038886650045487,15.347866650050099,17.15339493109162
337,"(2, 'donovan', 15)",0.5789760756528229,6.149920911535151,1.5415972651451126,105.59380036820745,0.19943528310095004,10.15959044063691,10.275884408079309,0.22484102633039563,9.653598905801177,1.8491902555125406,166.52618299663752,0.4277968900079948,12.771322494002888,12.904502431191894
42,"(2, 'donovan', 15)",2.3548196842844336,25.013045319612477,-19.85616658241495,1266.3827428456243,-8.601144560351427,29.53159988237894,35.586271831222,0.603411150674287,25.907590438311605,22.84211639036005,1091.9720801839853,-2.7521416095769884,23.87906605317715,33.04500083498237
30,"(2, 'donovan', 15)",1.8652826056730383,19.813151155886562,-16.02994657517492,573.2616183158613,-3.346211837966065,17.784893344503452,23.942882414526895,0.4678004660546158,20.085115874725126,16.257596229565614,542.9011755244356,-0.865470855473041,16.69106768360214,23.30023981688677
343,"(2, 'donovan', 15)",0.5967102551726955,6.3382945008155165,1.1831832368900512,104.35519586034852,0.2088258255733899,10.146687798870103,10.21543909288037,0.22877835634585328,9.822649035794564,0.10019377468229236,163.83830628039067,0.4370327434253676,12.799541685314725,12.799933838906773
349,"(2, 'donovan', 15)",0.532988950708136,5.661442728667542,1.1370481716311616,96.26923384693126,0.2701299539176224,9.745581321970564,9.811688633814837,0.2216167474621849,9.515163783607692,1.9178349633386051,161.8339474921125,0.44391995065941403,12.576003204300093,12.721397230340404
301,"(2, 'donovan', 15)",0.636635854020197,6.762386765735022,0.33103321505331623,112.86181515869292,0.1443324628323942,10.618485373753842,10.623644156253206,0.2292853249291888,9.844415843397424,1.6964793265431837,179.26798746726362,0.38401458494459517,13.281187643896645,13.389099576419007
24,"(2, 'donovan', 15)",1.1570232679785042,12.28997516495058,-7.257497392255982,229.26526884522627,-0.7381861852480924,13.288867543015511,15.141508143022817,0.27480947816475826,11.799005372875158,6.133440615876444,234.14706513923275,0.1954437647149163,14.018843439961936,15.301864760192881
48,"(2, 'donovan', 15)",1.6121839050331377,17.124720567467808,-12.200268430777754,605.0819102965934,-3.5874589846012936,21.3596665817669,24.59841275970044,0.5813227261406152,24.95921907393352,21.72002117119093,975.705112363489,-2.352634941141721,22.44873700972044,31.236278785468173
295,"(2, 'donovan', 15)",0.5675588703397809,6.028646626364047,2.3470343953665944,105.44977941649135,0.20052718520160462,9.99706004365573,10.268874301328815,0.22942465702613,9.850398097617337,0.36010025817712865,160.21667363546717,0.44947708956591204,12.65254921296325,12.65767252047023
289,"(2, 'donovan', 15)",0.5596766043057645,5.944920692337805,1.2979448410882048,103.03543170556925,0.21883168399746544,10.067311999424922,10.150637009841759,0.23634612108259753,10.147572678842883,1.4622647485275497,176.93488847401002,0.39203138131760695,13.221069173887347,13.301687429571107
331,"(2, 'donovan', 15)",0.5844799213466407,6.208383112564974,2.43743546413577,107.00008527058026,0.18877346327041333,10.052810235599628,10.344084554496849,0.23545762035089024,10.109424704554556,3.3022786726181894,176.79695479963564,0.39250533728074355,12.879903354841607,13.296501600031327
54,"(2, 'donovan', 15)",1.604908266748837,17.04743827220382,-11.88842127800941,412.65476005287474,-2.1285628512925463,16.4718001725042,20.313905583439013,0.6889280587652484,29.579277691514655,24.97668245510719,1211.8853960132003,-3.1641775489842816,24.249757358133962,34.81214437539291
