,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.007030444952857096,0.12510219975170855,0.001937128203476246,0.0031221801100469737
3,"(2, 'donovan', 18)",-0.1383860044780274,-0.013154912080846515,-0.008445904154824713,-0.0006025440554412453
4,"(2, 'donovan', 20)",-0.14793010799649497,-0.0003568255752890437,-0.006552895304799522,-0.0010328571058985103
6,"(2, 'elcajon', 17)",-0.060840343941718,-0.0792619965718071,-0.0056581235231815685,9.160146407524716e-05
7,"(2, 'elcajon', 19)",0.010594392521726892,-0.01969591753058708,0.0007534353286926532,0.0011505859351388648
8,"(2, 'elcajon', 21)",-0.09993015597089805,-0.10346056836080919,-0.005803801899720767,-0.0011171168264293707
0,"(2, 'shafter', 11)",0.016637219575203588,-0.025215437648888894,0.004238726228567802,-0.0011401218759461151
1,"(2, 'shafter', 12)",-0.004202428273647918,-0.03861087009958819,-0.0007548501694004672,-0.0020229409528430276
2,"(2, 'shafter', 13)",-0.08210273457582673,-0.1443546343842801,-0.00800074845439186,-0.0014108587435783249
12,"(3, 'donovan', 11)",-0.09721385395378235,-0.07669256105082134,-0.003835790579575671,-0.0032344931718234216
13,"(3, 'donovan', 12)",-0.10447000059657618,-0.044901168264168234,-0.0051104389071467415,-0.0019137629705829884
14,"(3, 'donovan', 13)",-0.09736511390380276,-0.09823146807616467,-0.0023181185189091735,-0.003275112916016787
17,"(3, 'elcajon', 15)",-0.026600126389746848,-0.03365588773466621,-0.0006561763260860554,-0.0021421877659398014
15,"(3, 'elcajon', 18)",-0.0034675759951752205,-0.048985370578798815,-6.0855440306983866e-05,-0.0019036878046965744
16,"(3, 'elcajon', 20)",0.007739656549233587,-0.028037642010532604,0.00033887893858344786,-0.0005786721636582837
9,"(3, 'shafter', 17)",-0.026997723503836557,-0.03879431731530403,-0.0019695319113830767,-0.0033536646445900264
10,"(3, 'shafter', 19)",0.019999663133857926,0.06341417746612699,0.0032977453505810272,0.0015122408027857803
11,"(3, 'shafter', 21)",0.011599759981987479,-0.0054181503057408875,0.0008498951929010734,-0.0019368338284013742
21,"(4, 'donovan', 17)",-0.500666024997245,-0.6310699665479564,-0.0331995358444408,-0.023627289916777677
22,"(4, 'donovan', 19)",-0.2916711949735822,0.14129211078530446,0.0041337129665906525,-0.0062859091848715964
23,"(4, 'donovan', 21)",0.442188041270402,0.66419022234893,0.08208808854497057,0.013400511951282168
24,"(4, 'elcajon', 11)",-0.02718720513232098,0.01224014576087784,-0.0015138862484010696,0.0019052212012054814
25,"(4, 'elcajon', 12)",-0.023888669726527034,-0.042018888042310465,-0.0013693847060322895,-0.0008185820666766763
26,"(4, 'elcajon', 13)",-0.05360980372040958,-0.025578277544171968,-0.0025134997906072765,-0.0018176955248501436
20,"(4, 'shafter', 15)",-0.025301761742646534,-0.04931372454871674,-0.0005017499809714665,-0.003442549472616213
18,"(4, 'shafter', 18)",0.008444752416534751,-0.006279997637621548,0.001539124487938165,-0.0001638835470380018
19,"(4, 'shafter', 20)",-0.05148236449883781,-0.06262528607479245,-0.0027179050705928853,-0.004124510484699917
