,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",5.340202876563551,7.363728729949362,0.5027462546491334,0.1715078844083203
3,"(2, 'donovan', 18)",5.411321453253666,6.707434792665067,0.5205627036439324,0.15743443996751746
4,"(2, 'donovan', 20)",5.364208922560873,7.178178197493727,0.5166178274272055,0.16834106253377965
6,"(2, 'elcajon', 17)",3.2153127124289305,5.913297084093695,0.2856048882311805,0.15503843905858652
7,"(2, 'elcajon', 19)",3.153009790031392,6.341515348931352,0.2801333558808067,0.16611817846051277
8,"(2, 'elcajon', 21)",2.8183524725664824,5.552403925837798,0.25095913044325485,0.14548754789158447
0,"(2, 'shafter', 11)",4.129573894237521,6.446703070893628,0.30760063968635876,0.2043180646501015
1,"(2, 'shafter', 12)",4.10170270591563,6.522633250343465,0.30514411799195323,0.20626780075193102
2,"(2, 'shafter', 13)",3.5317664322399316,5.414598840938681,0.26043718775040114,0.17239824845124335
12,"(3, 'donovan', 11)",3.5106685711575447,4.718277158563127,0.2960471771759618,0.15775445527715598
13,"(3, 'donovan', 12)",3.226408223321817,5.151383659887369,0.27200071923281155,0.1723009472680456
14,"(3, 'donovan', 13)",7.08761693146879,13.414081724442731,0.6036912037229935,0.4508973819268963
17,"(3, 'elcajon', 15)",2.6537703648935826,4.057817678693931,0.16728579453349962,0.17992292803219873
15,"(3, 'elcajon', 18)",3.0488911872558284,3.681489840206357,0.19117461095766183,0.1635519278122645
16,"(3, 'elcajon', 20)",2.5877147911552356,3.948787560413913,0.1622004267096903,0.17551515515646096
9,"(3, 'shafter', 17)",3.2217342654138474,4.079126695319063,0.23536930072091305,0.17887608286849416
10,"(3, 'shafter', 19)",3.4242285611654872,4.456967615385479,0.24608724541441757,0.19482506615994136
11,"(3, 'shafter', 21)",2.911280900362574,4.145118977323447,0.21268859976335402,0.18176994760626833
21,"(4, 'donovan', 17)",4.777619103182795,9.09032568064603,0.6272062037287135,0.24454094801990348
22,"(4, 'donovan', 19)",3.976001059606387,8.401007665936643,0.5256565174901863,0.22505354708716624
23,"(4, 'donovan', 21)",4.06036311020949,7.404691699662866,0.5330447817445375,0.1991953194686839
24,"(4, 'elcajon', 11)",2.7724470085028123,3.238230749271089,0.1433446931622893,0.18234057622310143
25,"(4, 'elcajon', 12)",3.4542486898701825,3.902668185384207,0.17859609833375065,0.2197541870327503
26,"(4, 'elcajon', 13)",8.90906845690447,15.203424841053142,0.4604994654553092,0.8571641016513318
20,"(4, 'shafter', 15)",3.1338328948657197,4.130072941749899,0.25247137335165637,0.20919035550607046
18,"(4, 'shafter', 18)",2.7433449591462296,3.1758422574011367,0.22227262145302548,0.15851257426365137
19,"(4, 'shafter', 20)",2.859806666911363,3.4091220104336877,0.23183000273516677,0.16991348671780243
