,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.015306952220494274,0.02240282337939714,0.0027342476773440927,0.0007437833247093406
3,"(2, 'donovan', 18)",-0.12557493273919018,-0.059082942975956954,-0.007235176979866087,-0.0016869019122423834
4,"(2, 'donovan', 20)",-0.1718432685909823,-0.08208933489761083,-0.008631589419658692,-0.0029627784933293766
0,"(2, 'elcajon', 17)",0.10435590882365009,-0.05467090157506682,0.008704230497868726,0.003849375459780424
1,"(2, 'elcajon', 19)",0.015929205645759836,-0.04111492196750799,0.0012185823454060052,0.0006421135096462138
2,"(2, 'elcajon', 21)",-0.0904346315085287,-0.13763177248134184,-0.004831436424678759,-0.001952664722239844
6,"(2, 'shafter', 11)",0.040592858714741276,-0.018322317604046567,0.005955758721682358,-0.0009205329056126421
7,"(2, 'shafter', 12)",0.01022383633967916,-0.04092595528861054,0.0003192390448370497,-0.0020800076565393733
8,"(2, 'shafter', 13)",-0.04915438850032494,-0.12091890788357684,-0.005072869128870283,-0.0017818938996025935
12,"(3, 'donovan', 11)",-0.08174148106026635,-0.07282517070844285,-0.0024731669513738397,-0.0031097031298113476
13,"(3, 'donovan', 12)",-0.09051174731172207,-0.04774272797259016,-0.003848212338473378,-0.0020096417933233024
14,"(3, 'donovan', 13)",-0.12904140641970985,-0.14090860010416684,-0.006091040489819122,-0.004718035801064141
11,"(3, 'elcajon', 15)",-0.01916971630825337,-0.04174775923037011,-0.0001585849864758626,-0.002513010495108131
9,"(3, 'elcajon', 18)",-0.023878613991200393,-0.024046591819066876,-0.0013427965622058724,-0.0008169257680589181
10,"(3, 'elcajon', 20)",0.001362735100355561,-0.027712265958307114,-6.845337095404136e-05,-0.000538411903418301
15,"(3, 'shafter', 17)",-0.007344178374227184,-0.0036141717451592115,-0.0005320762588309491,-0.0041211595137232715
16,"(3, 'shafter', 19)",0.02326360075291367,0.10773261099589693,0.00356432293021558,0.0034253567302312826
17,"(3, 'shafter', 21)",-0.011216192209596798,0.006850455445935211,-0.0008168989059312293,-0.0013841264544615928
21,"(4, 'donovan', 17)",-2.9055051819453186,-5.820190323973101,-0.35100933138762364,-0.16167977461286703
22,"(4, 'donovan', 19)",-0.2601266687889323,0.2001945163157215,0.009260760371706978,-0.0047675052495103065
23,"(4, 'donovan', 21)",0.35752267232676926,0.5509880754228904,0.07213192053171974,0.010151072746622858
18,"(4, 'elcajon', 11)",-0.010651038939498925,0.007368877296601628,-0.0006575966522120724,0.0016239736315555309
19,"(4, 'elcajon', 12)",-0.028234744621838725,-0.04426406242468239,-0.0015942445334432287,-0.0009571013063122691
20,"(4, 'elcajon', 13)",-0.06173546637954397,0.0002566326206183689,-0.0028941221566010367,-0.0004792921170727882
26,"(4, 'shafter', 15)",-0.031072111526481816,0.004366953857923406,-0.0009734248499819742,-0.0006828556638866223
24,"(4, 'shafter', 18)",0.004244580882773352,-0.02900506520352364,0.001194428785443541,-0.0012949256935616271
25,"(4, 'shafter', 20)",-0.05381658655236432,-0.05830347909190614,-0.0029255545892374335,-0.0038906244902217058
