,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
2,"(2, 'donovan', 15)",0.011239221257332233,0.07488981287385865,0.002340830474457878,0.0019671701506168426
0,"(2, 'donovan', 18)",-0.13772686217720143,-0.0441832379089977,-0.008523561446245775,-0.0013487626540052422
1,"(2, 'donovan', 20)",-0.18313487375090887,-0.05724120384146403,-0.009843918203338409,-0.0023817000917311926
6,"(2, 'elcajon', 17)",-0.01926280586084239,-0.06996315310847834,-0.0019580387610680927,0.00038672296382655236
7,"(2, 'elcajon', 19)",0.049277631081805495,-0.014304678640800539,0.004198184821136597,0.0012861758482619612
8,"(2, 'elcajon', 21)",-0.10365852696910682,-0.11922851705097592,-0.006145111488267158,-0.0014741862264052719
3,"(2, 'shafter', 11)",0.053574340797758246,-0.000114909162326704,0.006928292745794651,-0.0003469239169832383
4,"(2, 'shafter', 12)",0.023814653451317724,-0.045716028186058466,0.0013414782646126167,-0.0022284497031319905
5,"(2, 'shafter', 13)",-0.07426084132776989,-0.10788344321205834,-0.006966266550310851,-0.0013962496565064209
9,"(3, 'donovan', 11)",-0.09064599057595002,-0.07615396329062207,-0.0033653826673281095,-0.0032140952283598034
10,"(3, 'donovan', 12)",-0.12535279555963275,-0.028611908655134854,-0.006855558865862366,-0.001370585969591609
11,"(3, 'donovan', 13)",-0.11390409041276461,-0.12460628407795937,-0.005070561506653415,-0.004170573783108811
17,"(3, 'elcajon', 15)",-0.008029287304745836,-0.04784367456757188,0.0005271738839344453,-0.0027739619839400598
15,"(3, 'elcajon', 18)",-0.02049285431133052,-0.026206413271615325,-0.0011276119123167783,-0.0009204133121343272
16,"(3, 'elcajon', 20)",-0.01486769029048407,-0.01639957945951931,-0.0010846471132532065,-5.117268466300895e-05
12,"(3, 'shafter', 17)",-0.017540830667897467,-0.0390602530049895,-0.0012786841993448206,-0.0033695685453927204
13,"(3, 'shafter', 19)",0.04091113757769804,0.11693726542803695,0.0048103248177086,0.0037932699212699095
14,"(3, 'shafter', 21)",-0.0022227007743116367,0.013951522082442658,-0.00015990647981517503,-0.001097346798356047
18,"(4, 'donovan', 17)",-0.44944185005762094,-0.8567516567289566,-0.025858383902683135,-0.029593293403757825
19,"(4, 'donovan', 19)",-0.1760525223178,-0.09060861826231559,0.02293733489387456,-0.013580568881643967
20,"(4, 'donovan', 21)",0.2606148951333003,0.5726917731931813,0.05941156380861823,0.010810743782212251
24,"(4, 'elcajon', 11)",-0.03470569752917507,-0.029972275238268953,-0.0019030227175979297,-0.00050073125676936
25,"(4, 'elcajon', 12)",-0.03765586195177484,-0.045189747926389856,-0.0020831580604333266,-0.0010680032604320489
26,"(4, 'elcajon', 13)",-0.03207969502278285,-0.02087432505220299,-0.001366508064115951,-0.0016561032676052911
23,"(4, 'shafter', 15)",-0.01584796783075948,-0.0399500650621345,0.00017941955047018343,-0.002904931668080729
21,"(4, 'shafter', 18)",0.01256539049692007,-0.0059373460890719265,0.0018746949813707725,-0.00014948406272816128
22,"(4, 'shafter', 20)",-0.06776666592686587,-0.05525962711563892,-0.004017524047463666,-0.003738068429405883
