,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.0009878831344467542,0.08627523243693602,0.0013842177837343206,0.0022335599912743365
6,"(2, 'donovan', 18)",-0.11830452644344547,-0.050520174865459566,-0.006614626903748477,-0.0014972181442118315
7,"(2, 'donovan', 20)",-0.17303725683141025,-0.04787790075915055,-0.008864493483001334,-0.0021736721213587162
3,"(2, 'elcajon', 17)",-0.05679212920592214,-0.1221939966819443,-0.005298577512011848,-0.0008964638315966111
4,"(2, 'elcajon', 19)",0.022594322417162083,-0.032832398584687006,0.0018283821666992828,0.0008610759271558688
5,"(2, 'elcajon', 21)",-0.11427846893318039,-0.09420586218143878,-0.007019545974212671,-0.0007991289648020539
0,"(2, 'shafter', 11)",-0.003449814051844413,0.018867653628307224,0.0037614885593961755,0.00016605429533089744
1,"(2, 'shafter', 12)",0.017176389605563003,-0.08154208921965012,0.0008470675273072881,-0.0033634010831704864
2,"(2, 'shafter', 13)",-0.09951326919045744,-0.13945939041134814,-0.008846515332367744,-0.0023934717045211162
15,"(3, 'donovan', 11)",-0.10582728420866161,-0.0568182153806962,-0.004795208709000687,-0.0025045076014310053
16,"(3, 'donovan', 12)",-0.10234287695231092,0.000909284790703957,-0.004916982164952677,-0.00037592757163432133
17,"(3, 'donovan', 13)",-0.10698295547363523,-0.13685872508764962,-0.004414886951792096,-0.004582243423793625
14,"(3, 'elcajon', 15)",-0.025448673454810056,-0.050788884792138056,-0.0005807518051115512,-0.0029172733407344664
12,"(3, 'elcajon', 18)",-0.013172872415277759,-0.052099691198209896,-0.0006733565447308854,-0.0020649453790843875
13,"(3, 'elcajon', 20)",-0.0002346747986545772,-0.020386471113855276,-0.00016857858143073945,-0.00022680437045277668
9,"(3, 'shafter', 17)",-0.004424233976915826,-0.024383102741856177,-0.00032038753399304953,-0.0027450421778626166
10,"(3, 'shafter', 19)",0.031690527766300214,0.10158164413496973,0.004151702474430891,0.0031258843302268413
11,"(3, 'shafter', 21)",0.005328788302728427,-0.01277214156150297,0.00039179188287827293,-0.002280198108638831
24,"(4, 'donovan', 17)",-0.4444823572978329,-0.6289214181212284,-0.02421335547516612,-0.023402540147186207
25,"(4, 'donovan', 19)",-0.16791290855697616,-0.02735104872748728,0.021913259387365047,-0.011362792768174229
26,"(4, 'donovan', 21)",0.4155343971410921,0.4366818090272737,0.08071626048864566,0.007342450259352179
21,"(4, 'elcajon', 11)",0.02104335171522198,-0.014042805805820624,0.0009620646228651608,0.0006510540306763346
22,"(4, 'elcajon', 12)",-0.037213717376718414,-0.05612669301498885,-0.0020625352852724488,-0.0016773895887053913
23,"(4, 'elcajon', 13)",-0.06803689156819548,-0.0050588709371828244,-0.003221715142670417,-0.0007702536125651915
20,"(4, 'shafter', 15)",-0.030265002416481224,-0.009621748754853776,-0.0009898940921633237,-0.0013779116352131693
18,"(4, 'shafter', 18)",0.017345706618946632,-0.013640349698228249,0.002266918532657536,-0.0005303439064343884
19,"(4, 'shafter', 20)",-0.060401997176431355,-0.06769935725238563,-0.0034509520480788536,-0.004365955545729161
