,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
5,"(2, 'donovan', 15)",0.04861177543500883,0.07756902700120172,0.00584507791869876,0.0020270268297530314
3,"(2, 'donovan', 18)",-0.11779440699938792,-0.07768148748739634,-0.006681454508426332,-0.0021316836680572993
4,"(2, 'donovan', 20)",-0.1751559360730699,-0.04095343865768264,-0.00909898731952652,-0.0020289968401402403
6,"(2, 'elcajon', 17)",-0.030062603974239988,-0.13922995428752394,-0.0029254119541333168,-0.0013029324300580514
7,"(2, 'elcajon', 19)",0.03154819839554701,-0.0030862129020077234,0.002614211588604698,0.0016034299827633602
8,"(2, 'elcajon', 21)",-0.08988173833448299,-0.12373997111544544,-0.0047616966265550675,-0.0015205228339393306
0,"(2, 'shafter', 11)",-0.0032187436508159806,-0.0813376690523171,0.00233514165740778,-0.002856666086554188
1,"(2, 'shafter', 12)",0.0026812092634251883,-0.03893725521505775,-0.00024460588396757466,-0.002009540267515042
2,"(2, 'shafter', 13)",-0.08792768131063777,-0.08873665950578857,-0.007972339971074827,-0.0008286654041254615
12,"(3, 'donovan', 11)",-0.11467063718416082,0.0039005588877270014,-0.0029174278290050593,-0.0013112410429546029
13,"(3, 'donovan', 12)",-0.09201298976163974,-0.047039349153424226,-0.00417255437744557,-0.0019874786720738835
14,"(3, 'donovan', 13)",-0.11090468602299719,-0.10859203020624086,-0.004804391610917169,-0.0036320502580981795
17,"(3, 'elcajon', 15)",-0.019942904411817786,-0.05345907939348393,-0.0002142740234149232,-0.003045208075502931
15,"(3, 'elcajon', 18)",-0.01122160168068298,-0.006504677113029267,-0.0005444363068176916,-3.089504671882626e-05
16,"(3, 'elcajon', 20)",0.021679543697396664,-0.005113572048866644,0.0012113254572773402,0.00046183118989445715
9,"(3, 'shafter', 17)",-0.026068112153805778,-0.037109534666764254,-0.001901573414635982,-0.003323828491357511
10,"(3, 'shafter', 19)",0.027365122472374992,0.10955957800226823,0.0038438785412223675,0.003514309094196477
11,"(3, 'shafter', 21)",-0.011789407754613457,0.007885929601974873,-0.0008587739918684834,-0.0013754963385796959
21,"(4, 'donovan', 17)",-0.32989635564391584,-0.4828952690191475,-0.00959737896031132,-0.0193608186683345
22,"(4, 'donovan', 19)",-0.20562344872884264,0.19186535969237895,0.017622579215090528,-0.005216015623050851
23,"(4, 'donovan', 21)",0.4508370181418453,0.9323736527916688,0.08494520663138672,0.02049981135823717
24,"(4, 'elcajon', 11)",0.005085511628696082,0.028016795199479638,5.448916437122975e-05,0.00436689414840008
25,"(4, 'elcajon', 12)",-0.020243160481995037,-0.04748020174388845,-0.0011800959399110855,-0.001209497785191499
26,"(4, 'elcajon', 13)",-0.04984283437095982,-0.021861595476324602,-0.00228028446544129,-0.0017484499926182229
20,"(4, 'shafter', 15)",-0.020032695552895774,-0.03160677889343333,-0.00013713025525152744,-0.0025122264039466324
18,"(4, 'shafter', 18)",0.015536076844335334,-0.007170546202228234,0.0021183825083911367,-0.00020787623415696732
19,"(4, 'shafter', 20)",-0.053395829529018446,-0.04586449166291118,-0.002865035844719116,-0.0032776633891319074
