,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.03543447335566707,0.074087432356853,0.004636052909569588,0.001943216159881772
6,"(2, 'donovan', 18)",-0.13255864674315543,-0.07674156611642502,-0.007718733117007659,-0.0021867391644559697
7,"(2, 'donovan', 20)",-0.15412170063147634,0.007151008423032401,-0.00703682567874353,-0.000882855621198636
3,"(2, 'elcajon', 17)",-0.041125912228111794,0.00016461539236711786,-0.003901890911470862,0.002164795452634982
4,"(2, 'elcajon', 19)",0.01826451724551026,-0.02635916264773197,0.0014349793783555165,0.0010659986517025655
5,"(2, 'elcajon', 21)",-0.08535827097720272,-0.06552724100590979,-0.00454057189013829,-9.246652651523357e-05
0,"(2, 'shafter', 11)",0.027149170052989113,-0.02378049347695743,0.005059134974792878,-0.0010965542331299316
1,"(2, 'shafter', 12)",-0.009733649661952448,-0.06683616006457438,-0.0011715576444358278,-0.0028914946908046857
2,"(2, 'shafter', 13)",-0.06472702260442365,-0.1181134085270239,-0.006228064249484744,-0.0017435906091096687
15,"(3, 'donovan', 11)",-0.11390523097289496,-0.0799857443317391,-0.005093584018121877,-0.003342951821646678
16,"(3, 'donovan', 12)",-0.11185025410947036,-0.06942720909900046,-0.005702559066433466,-0.0027311935345531724
17,"(3, 'donovan', 13)",-0.13211203030149576,-0.09963958784177684,-0.006547147557560529,-0.003331454619259655
14,"(3, 'elcajon', 15)",-0.014136145335741812,-0.036729372172297214,0.0001291703228412655,-0.0022697566889924303
12,"(3, 'elcajon', 18)",-0.03555806393178873,-0.016391029559353676,-0.0020962779762325745,-0.0005271079203107154
13,"(3, 'elcajon', 20)",-0.004377729279122278,-0.022562515236781877,-0.00042369006203740733,-0.0003541685447708276
9,"(3, 'shafter', 17)",-0.011235058894386807,-0.03468188181778942,-0.0008179778189038589,-0.003185234806189985
10,"(3, 'shafter', 19)",0.027656540524943374,0.08525339327425563,0.0038690715020553157,0.0024589780282710527
11,"(3, 'shafter', 21)",-0.0015668014458500856,0.0015737527654193784,-0.00011195483729489752,-0.0016698126301653848
24,"(4, 'donovan', 17)",-0.34317172497489956,-0.3013387024530392,-0.012550853838167675,-0.01457539633114785
25,"(4, 'donovan', 19)",-0.1325475774463758,0.26124565190502747,0.027232552670080623,-0.003200200442554174
26,"(4, 'donovan', 21)",0.5893576139754537,0.6346317936855614,0.1019301175230895,0.012902265512771127
21,"(4, 'elcajon', 11)",-0.013726582581612412,-0.0028166634204094265,-0.0008174984580502087,0.0010474681284992349
22,"(4, 'elcajon', 12)",-0.014726109462764203,-0.045044508868708366,-0.0008962461187202453,-0.0010500414760998833
23,"(4, 'elcajon', 13)",-0.036409656003374646,-0.026066300215670246,-0.0015791117143695022,-0.0019594796721512653
20,"(4, 'shafter', 15)",-0.017183586991847744,-0.025727814194345555,0.0001288702528935981,-0.0021739096441659445
18,"(4, 'shafter', 18)",0.018024210763381454,-0.01090640894576378,0.0026352261102976504,-0.0003064715250239991
19,"(4, 'shafter', 20)",-0.05402342038878638,-0.051514395337323826,-0.0029418448823720356,-0.003554154655203756
