,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
8,"(2, 'donovan', 15)",0.03754052056685975,0.13648320977774997,0.004808632215519415,0.0033982159386344857
6,"(2, 'donovan', 18)",-0.13411767552387577,-0.037758009774322865,-0.008333103051013646,-0.0011793772294090843
7,"(2, 'donovan', 20)",-0.16087733525996928,-0.06100426236046186,-0.0077102636933824575,-0.0024854839393659567
0,"(2, 'elcajon', 17)",-0.046933384970498704,-0.04906784588898194,-0.004426490700308816,0.0009700859785242155
1,"(2, 'elcajon', 19)",0.025638918453653403,-0.005793108777993439,0.0020918271137064792,0.0015430191662192672
2,"(2, 'elcajon', 21)",-0.08605760443748611,-0.07849255096374375,-0.004559172147261842,-0.00038317790453865075
3,"(2, 'shafter', 11)",0.03681714107434253,-0.03052828974383459,0.005712530688755935,-0.0013143806872990826
4,"(2, 'shafter', 12)",-0.03380838777109041,-0.09136327474472239,-0.0029554865640931127,-0.003674071224898934
5,"(2, 'shafter', 13)",-0.06856684481298903,-0.10092406775920626,-0.006554203055143315,-0.001175540324724389
15,"(3, 'donovan', 11)",-0.0971778473165994,-0.06763931748682239,-0.0038460452892619124,-0.0029410379155268285
16,"(3, 'donovan', 12)",-0.09475266354882672,-0.029418748255720217,-0.004373252825403018,-0.0013963551818461095
17,"(3, 'donovan', 13)",-0.13284206090092576,-0.0875456367002343,-0.006661466587929432,-0.0029248212024674813
11,"(3, 'elcajon', 15)",-0.025245667362767232,-0.031994765555171334,-0.000570665400416448,-0.002086199407013073
9,"(3, 'elcajon', 18)",-0.010663225655658248,-0.009755419730628212,-0.0005258500086210427,-0.0002038680270417259
10,"(3, 'elcajon', 20)",-0.0023474431759971104,0.00017068496213257234,-0.0002953823013090995,0.0006766617638551964
12,"(3, 'shafter', 17)",-0.026361199226162313,-0.033411199025001004,-0.0019230529183054401,-0.0031611730866211163
13,"(3, 'shafter', 19)",0.025494615698845813,0.07196254736160235,0.003712013041768991,0.0018526803768620093
14,"(3, 'shafter', 21)",0.0017421746482995104,0.009945334130136096,0.00012972763185056801,-0.0012968753388395149
24,"(4, 'donovan', 17)",-0.34169578412820023,-0.8170367019422748,-0.010938361641849248,-0.028999300115003734
25,"(4, 'donovan', 19)",-0.1779806853526127,0.131598463652292,0.019741083425158068,-0.006720269358276909
26,"(4, 'donovan', 21)",0.3783110132906118,0.7913490501813891,0.07595728786948353,0.016912358080841378
18,"(4, 'elcajon', 11)",-0.0314338886978045,-0.028467788060035026,-0.0017312327979658593,-0.00036869559760638326
19,"(4, 'elcajon', 12)",-0.04118852535753881,-0.0431644258961521,-0.0022677898806102437,-0.0008828269696337099
20,"(4, 'elcajon', 13)",-0.045050466561626035,-0.047154511742551364,-0.0020309076678121096,-0.0031642152628200415
23,"(4, 'shafter', 15)",-0.03186514400788054,-0.03732613932519069,-0.0010669753084822098,-0.0027943579607512814
21,"(4, 'shafter', 18)",-0.010678024236719263,-0.05606450422665432,0.00037627785989374773,-0.0025569100897048225
22,"(4, 'shafter', 20)",-0.04222623291749272,-0.04543839945169381,-0.001974399781106473,-0.0032575290276644353
