,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
11,"(1, 'donovan', 19)","(1, 'donovan', 19)",-0.3506636172532987,-0.54318105349689,-0.08234062040640765,-0.014140278508773871
13,"(1, 'donovan', 21)","(1, 'donovan', 21)",-0.361628953860217,-0.569241632914457,-0.08495094726211651,-0.014826165620095809
10,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",-0.339821870523166,-0.5429181527491032,-0.06190356677247812,-0.01437350965601422
18,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",-0.3415583256504847,-0.5473044955218703,-0.062217214915001935,-0.014489544634211263
5,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",-0.32467043605295637,-0.5692639923190895,-0.05909999721742128,-0.015071163438690215
2,"(1, 'shafter', 15)","(1, 'shafter', 15)",-0.35990227068342734,-0.6104559085768072,-0.053138838840392395,-0.018893315243746572
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",-0.3036149106302918,-0.5108496237064908,-0.05565221969016644,-0.015707319235865335
9,"(2, 'donovan', 15)","(2, 'donovan', 15)",-0.7514249438171245,-0.8673264871436377,-0.07038485692113815,-0.020146857315853743
12,"(2, 'donovan', 18)","(2, 'donovan', 18)",-0.6923497365900383,-0.8483426724137934,-0.06467164308131115,-0.02014437607314592
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",-0.7279310344827588,-0.8678481800766285,-0.06801080827057543,-0.020605219784681675
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",-0.4236471950263279,-0.6732169483434106,-0.03769641807095804,-0.017149916437758542
7,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",-0.4998744871316674,-0.7670260164117867,-0.043463241395191594,-0.019651206812942898
14,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",-0.48301799701603876,-0.7634309026482656,-0.04199486812377942,-0.01956570746191757
0,"(3, 'donovan', 11)","(3, 'donovan', 11)",-0.700463903728752,-0.7574512438535218,-0.057437851080394085,-0.025532550108326953
1,"(3, 'donovan', 12)","(3, 'donovan', 12)",-0.7235690446587987,-0.7909915016740579,-0.059477302134462506,-0.026582931774445276
17,"(3, 'donovan', 13)","(3, 'donovan', 13)",-0.7721144925076351,-0.8472695405134435,-0.06398538564386769,-0.028474583409741218
8,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",-0.5035860578353984,-0.6303341872943135,-0.0313524120365338,-0.02815112520427837
16,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",-0.5446364942166912,-0.6720186150052418,-0.034094786100303066,-0.029766729585442426
15,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",-0.5004733051534839,-0.6097579003080656,-0.03142876221848056,-0.026890410609599933
