,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
16,"(1, 'donovan', 19)","(1, 'donovan', 19)",0.3377397271078161,0.5467760864421484,0.08024665030077019,0.014436726891071292
5,"(1, 'donovan', 21)","(1, 'donovan', 21)",0.32331051344743283,0.5358297973026264,0.0768182823304537,0.014147708057408932
8,"(1, 'elcajon', 11)","(1, 'elcajon', 11)",0.301001272062331,0.5135282238829703,0.05613620390552022,0.013567322436050931
2,"(1, 'elcajon', 12)","(1, 'elcajon', 12)",0.30175003975194786,0.5155310860232152,0.05627584775291729,0.013620237690145816
9,"(1, 'elcajon', 13)","(1, 'elcajon', 13)",0.3066233105422166,0.5461667991731595,0.05718470412051659,0.014429627669183038
0,"(1, 'shafter', 15)","(1, 'shafter', 15)",0.3231695425105848,0.5664829234793127,0.04785615985386493,0.017264572471376947
6,"(1, 'shafter', 18)","(1, 'shafter', 18)",0.29035014111006596,0.5537274223894647,0.051995636737324054,0.016835783733613486
14,"(2, 'donovan', 15)","(2, 'donovan', 15)",0.7308680659670166,0.9114703898050976,0.06880659617262025,0.021228967550163177
22,"(2, 'donovan', 18)","(2, 'donovan', 18)",0.7207329980842913,0.8874275622605365,0.0694125678176692,0.020811756777626464
4,"(2, 'donovan', 20)","(2, 'donovan', 20)",0.7530357998084292,0.8912655651340998,0.07252359564813801,0.020901764780209758
13,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",0.3922345863259025,0.6442767465721482,0.03484110360826878,0.016892041730658242
1,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",0.4459994405072734,0.7390435471838867,0.03971418132903773,0.019364879591078795
3,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",0.4328706639313689,0.7157825438269304,0.038545124675130576,0.018755380284993847
20,"(2, 'shafter', 11)","(2, 'shafter', 11)",0.44790922655836124,0.6863908087586084,0.033363530509293166,0.021754333587187775
21,"(2, 'shafter', 12)","(2, 'shafter', 12)",0.4342419428474804,0.6883162242137303,0.032305211797578816,0.02176702605028838
11,"(2, 'shafter', 13)","(2, 'shafter', 13)",0.4519180127500549,0.6998762629149264,0.03332503963455149,0.022283954619850672
23,"(3, 'donovan', 11)","(3, 'donovan', 11)",0.6503809633822341,0.7122769627661621,0.05484541465149014,0.02381482325436489
15,"(3, 'donovan', 12)","(3, 'donovan', 12)",0.6644512129380054,0.7739844435887563,0.056016406480787144,0.025887851033015406
12,"(3, 'donovan', 13)","(3, 'donovan', 13)",0.6833239358525975,0.7729681395547214,0.058202658519395795,0.025982345836096127
24,"(3, 'elcajon', 15)","(3, 'elcajon', 15)",0.5090413592056118,0.6237180012753941,0.032088776459508195,0.027655547375893836
17,"(3, 'elcajon', 18)","(3, 'elcajon', 18)",0.5230138085422346,0.6445085001219052,0.03279494278177578,0.028632595025827958
10,"(3, 'elcajon', 20)","(3, 'elcajon', 20)",0.500818963606543,0.6035582694268362,0.031392201946387525,0.026826873232276956
18,"(3, 'shafter', 17)","(3, 'shafter', 17)",0.5075711312062786,0.628831782972189,0.0370814761169629,0.02757677536407559
7,"(3, 'shafter', 19)","(3, 'shafter', 19)",0.5686892305067394,0.6315231359836206,0.041546563274575794,0.027694801900633396
19,"(3, 'shafter', 21)","(3, 'shafter', 21)",0.5412103873059203,0.6595439208326226,0.039539049440108255,0.028923624791317652
