,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",1.2291238910793494,1.4748249445539676,0.10334927860364705,0.04935194663497393
1,"(3, 'donovan', 12)",1.140279210177741,1.66029227120106,0.09587817111627699,0.05555937670246888
2,"(1, 'shafter', 15)",1.8699705396167792,2.8865744320238713,0.22557013032282772,0.08764682525306053
3,"(2, 'donovan', 20)",1.905902203065134,2.165405076628353,0.18300699924581057,0.05084453805609877
4,"(1, 'elcajon', 13)",0.6857167207275966,1.4660307829294665,0.12756633576676885,0.03874049697896621
5,"(1, 'shafter', 18)",1.9436471965065507,3.753525694323145,0.24448849007644016,0.1114539502244492
6,"(2, 'elcajon', 19)",0.8696132040283477,1.7739041402461766,0.0772404345334133,0.04637465688305989
7,"(3, 'elcajon', 15)",0.900637940458405,1.3287040046642131,0.05670395967711409,0.05895726508164026
8,"(2, 'donovan', 15)",1.867894957773225,2.111547648793164,0.17576044238175179,0.049167012838011594
9,"(1, 'elcajon', 11)",0.6939910958468485,1.531564586910895,0.12910564738454985,0.04047225606937874
10,"(1, 'donovan', 19)",0.6657896397249038,1.1958119755189602,0.1580010481395523,0.031529044600821815
11,"(2, 'donovan', 18)",1.9029013409961686,2.1358798850574714,0.18271885289627138,0.050151275283861846
12,"(1, 'donovan', 21)",0.6473802763581299,1.220464634992744,0.15363225275136633,0.03217904210543827
13,"(2, 'elcajon', 21)",0.8859101827676241,1.7324671391271913,0.07868795822966397,0.04529138148753077
14,"(3, 'elcajon', 20)",0.8832639100677329,1.3182421717082167,0.05537477614677879,0.05854683236485311
15,"(3, 'elcajon', 18)",0.9856963313651437,1.348499671968367,0.061796542792667615,0.05988968521652438
16,"(3, 'donovan', 13)",1.3699531186024294,1.815412378872663,0.1163484956054815,0.06102159997018085
17,"(1, 'elcajon', 12)",0.6850494180499904,1.4720315461425937,0.1274421950613486,0.03889906974008185
