,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(3, 'donovan', 11)",-4.05613833623096,-7.62799627277097,-0.8798869697250915,-0.19119403778506322
1,"(3, 'donovan', 12)",-3.7152157971363837,-6.109677327476038,-0.8074069431210953,-0.14976542770765222
2,"(1, 'shafter', 15)",-6.862740098566946,-14.026323553611395,-0.4373158781437324,-0.47013222914561503
3,"(2, 'donovan', 20)",-7.178035667072104,-11.315319488072525,-0.38649552469578463,-0.5478722517607235
4,"(1, 'elcajon', 13)",-5.8048673518805645,-7.313174553497447,-0.4236712811958118,-0.2563556268164399
5,"(1, 'shafter', 18)",-8.193660135093179,-27.05713182655741,-0.5869514436287513,-0.955260214883709
6,"(2, 'elcajon', 19)",-1.9573478660707124,-4.73889490070278,-0.5936363491755033,-0.12534325165281543
7,"(3, 'elcajon', 15)",-4.817241548624256,-8.990282923651574,-0.5568400378803741,-0.22501585499551788
8,"(2, 'donovan', 15)",-9.682298479352035,-11.571653032615444,-0.9625321909043276,-0.461217297114381
9,"(1, 'elcajon', 11)",-5.323378051516385,-7.453902761536616,-0.37685698582545346,-0.2602077037512054
10,"(1, 'donovan', 19)",-3.7882440790367524,-12.107652925637323,-0.23761334486868713,-0.3162595456334484
11,"(2, 'donovan', 18)",-9.586393463659503,-12.140606329345987,-0.9989405596416439,-0.47826542340709755
12,"(1, 'donovan', 21)",-3.7871638489682407,-9.88516192226201,-0.2402510434211218,-0.2581521034053976
13,"(2, 'elcajon', 21)",-1.7483324823847517,-4.2019913125101365,-0.5464540946265163,-0.1111778703964838
14,"(3, 'elcajon', 20)",-5.316843848552957,-7.097303517946957,-0.5399669544420409,-0.13905339389246626
15,"(3, 'elcajon', 18)",-5.360889878835797,-9.817003905094994,-0.6429614231756028,-0.24426684105234742
16,"(3, 'donovan', 13)",-4.873227826509826,-8.328238578323802,-1.0450928002284927,-0.20702876011687876
17,"(1, 'elcajon', 12)",-5.45561869641879,-7.627868986771803,-0.38888400205973306,-0.265616472753799
