,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(19, {(2, 'elcajon'), (3, 'shafter')})",5.533698091431426,8.80037676242818,0.42346772556888335,0.32738784910975655
1,"(13, {(2, 'shafter'), (3, 'donovan')})",6.702310901154442,9.92619442306588,0.5392348894326191,0.32667811090896204
2,"(12, {(1, 'elcajon'), (3, 'donovan')})",5.803850784204327,7.452784576281694,0.540726442610358,0.23748317065991875
3,"(19, {(3, 'shafter'), (1, 'donovan')})",7.223653621724737,8.956721281490209,0.6016375109465373,0.35322316839031176
4,"(18, {(3, 'elcajon'), (2, 'donovan')})",7.491486477743272,11.696309329710145,0.5167902906901493,0.4191723985215895
5,"(21, {(2, 'elcajon'), (3, 'shafter')})",4.988574549088184,8.510244561578816,0.38175200078303173,0.3165944751715998
6,"(11, {(1, 'elcajon'), (2, 'shafter')})",4.402852327429609,7.64972690735695,0.41325961182905835,0.22663654187755244
7,"(11, {(2, 'shafter'), (3, 'donovan')})",6.044492975494665,7.669426505442652,0.4837968614336339,0.2530777795806395
8,"(12, {(2, 'shafter'), (3, 'donovan')})",6.2946422169312175,8.598433084656085,0.5052813134820272,0.28330274202096106
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",8.067216874707963,9.758929443962352,0.5547470622796711,0.3491024537709177
10,"(21, {(2, 'elcajon'), (1, 'donovan')})",8.891656352555087,6.985401898734178,1.0197133217737275,0.1817682585768878
11,"(15, {(1, 'shafter'), (2, 'donovan')})",8.457597187704382,11.007320192936557,0.9612992072719273,0.2895344651311938
12,"(19, {(2, 'elcajon'), (1, 'donovan')})",9.25159833567745,7.838032700421941,1.06099220398672,0.2039547008573076
13,"(15, {(3, 'elcajon'), (1, 'shafter')})",6.493755735294119,11.626967289671681,0.47502748857446664,0.46541192907480067
14,"(11, {(1, 'elcajon'), (3, 'donovan')})",6.377979728473126,6.770618188580992,0.5936504852688308,0.21598100372173595
15,"(12, {(1, 'elcajon'), (2, 'shafter')})",4.943677491996908,7.866355359311183,0.46429540885882564,0.23347141682365535
16,"(13, {(1, 'elcajon'), (3, 'donovan')})",5.791135247831058,7.531080301298003,0.549440977539561,0.23940930616398673
17,"(18, {(1, 'shafter'), (2, 'donovan')})",7.728644588661959,10.976644035121208,0.8118451112291853,0.2715691347011598
18,"(21, {(3, 'shafter'), (1, 'donovan')})",7.278498597318072,8.776781608034563,0.60620539256598,0.3461269487380969
19,"(18, {(3, 'elcajon'), (1, 'shafter')})",6.490416308839018,8.57813935834076,0.43091508771741016,0.3662844368167837
20,"(13, {(1, 'elcajon'), (2, 'shafter')})",5.00855754076087,8.33159302536232,0.4714212810853148,0.2459950743906087
