,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(15, {(1, 'shafter'), (3, 'elcajon')})",-4.624573351456312,-7.888389616436678,-0.4546538947731257,-0.1610957723592819
1,"(18, {(1, 'shafter'), (3, 'elcajon')})",-5.722995179640188,-8.056703022235135,-0.5717351982688567,-0.1607697211577187
2,"(15, {(2, 'donovan'), (3, 'elcajon')})",-2.9153641537747195,-10.347490569695072,-0.529515788722297,-0.3104028589881082
3,"(15, {(2, 'donovan'), (3, 'elcajon')})",-2.939342524767139,-10.633400381358031,-0.5324572789860575,-0.3192273768786622
4,"(15, {(2, 'donovan'), (1, 'shafter')})",-5.414234774662033,-7.308934175702616,-0.2807108136302245,-0.3534251297966336
5,"(18, {(1, 'shafter'), (3, 'elcajon')})",-5.0863171040063975,-7.947677094409229,-0.5142608367303306,-0.15877834035953356
6,"(15, {(2, 'donovan'), (1, 'shafter')})",-8.284156616392147,-13.691229295177292,-0.46216902978433155,-0.6359129020175049
7,"(18, {(2, 'donovan'), (3, 'elcajon')})",-2.8301603437378877,-10.018032824037014,-0.6561554089879192,-0.2983811444654387
8,"(15, {(1, 'shafter'), (3, 'elcajon')})",-4.7581118162751626,-7.7440549086995425,-0.4669039223598477,-0.15211874758997035
9,"(18, {(2, 'donovan'), (1, 'shafter')})",-5.335290247113507,-27.096034525984198,-0.27242806630181937,-1.235190785668498
10,"(18, {(2, 'donovan'), (1, 'shafter')})",-5.195658548806754,-9.002990326899049,-0.2653202402157515,-0.4335284873066988
11,"(18, {(2, 'donovan'), (3, 'elcajon')})",-2.7926677377738693,-9.899456226055598,-0.6497402226498283,-0.294727425529091
