,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,"(19, {(3, 'shafter'), (2, 'elcajon')})",1.1515357981513865,1.419818336247814,0.08812158475168567,0.052819473958806894
1,"(13, {(2, 'shafter'), (3, 'donovan')})",1.370915559129286,1.5962288093733847,0.1102971066026206,0.052533024218510034
2,"(12, {(3, 'donovan'), (1, 'elcajon')})",1.3747570516396999,1.7296700762506978,0.1280817715041498,0.055115981107364466
3,"(19, {(1, 'donovan'), (3, 'shafter')})",1.2080294525799997,1.6065286725018235,0.10061332824909282,0.06335612440946253
4,"(18, {(3, 'elcajon'), (2, 'donovan')})",1.2759808488612836,1.4940785455486545,0.08802185197252435,0.05354479518820982
5,"(21, {(3, 'shafter'), (2, 'elcajon')})",1.102140894329253,1.430002448163877,0.08434162653375517,0.053198338930762125
6,"(11, {(2, 'shafter'), (1, 'elcajon')})",0.8018643732970028,1.2917761580381468,0.07526442746757511,0.038271128483825544
7,"(11, {(2, 'shafter'), (3, 'donovan')})",1.2918930559279318,1.529065215293045,0.10340218911656358,0.050456501440588705
8,"(12, {(2, 'shafter'), (3, 'donovan')})",1.3300202328042325,1.6512255555555555,0.10676291789569359,0.054404880863556125
9,"(15, {(3, 'elcajon'), (2, 'donovan')})",1.2438568853881584,1.4778731726854015,0.08553457329612221,0.052867392259494154
10,"(21, {(1, 'donovan'), (2, 'elcajon')})",0.8572126113455226,1.4104106891701829,0.098306894095192,0.036700521826116925
11,"(15, {(2, 'donovan'), (1, 'shafter')})",1.145883006384503,1.549990520819708,0.13024224270992785,0.040770657029849604
12,"(19, {(1, 'donovan'), (2, 'elcajon')})",0.8749467885607126,1.4431561181434598,0.1003406857803406,0.037552595863818934
13,"(15, {(3, 'elcajon'), (1, 'shafter')})",0.9823280293140513,1.3295087854211454,0.07185869560586788,0.05321845612263893
14,"(11, {(3, 'donovan'), (1, 'elcajon')})",1.3740178538218337,1.6957376480069433,0.1278910251231925,0.0540936010662912
15,"(12, {(2, 'shafter'), (1, 'elcajon')})",0.8272967877249144,1.312652147036097,0.07769724075369988,0.03895918027684489
16,"(13, {(3, 'donovan'), (1, 'elcajon')})",1.337951846122806,1.681821911359204,0.12693980347115877,0.053464284110806816
17,"(18, {(2, 'donovan'), (1, 'shafter')})",1.4330635617484253,1.7572618438633334,0.1505342409447716,0.04347577245416799
18,"(21, {(1, 'donovan'), (3, 'shafter')})",1.118295932222409,1.5588259327834821,0.09313967922555047,0.06147488770077627
19,"(18, {(3, 'elcajon'), (1, 'shafter')})",1.1069283804585595,1.503584185368225,0.07349176346555704,0.06420267420914813
20,"(13, {(2, 'shafter'), (1, 'elcajon')})",0.8230501811594203,1.3137199048913042,0.07746808689767634,0.03878833552579894
