,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,11,"(1, 'elcajon')",0.7737951502623628,1.202687104468119,0.1443114244621384,0.031774774933729905
1,11,"(3, 'donovan')",0.6627814600901005,0.7537514843479266,0.05589112543043197,0.025201514741891383
2,11,"(2, 'shafter')",0.6444489404909058,0.9670309111778208,0.04800323505938867,0.03064888509933828
3,17,"(3, 'shafter')",0.5215909503497698,0.6451564818290395,0.03810571795573333,0.02829267835347881
4,17,"(2, 'elcajon')",0.47365000466374413,0.8074476261542767,0.04207300799536021,0.021170155634030147
5,18,"(2, 'donovan')",1.0695346863026822,1.1806374281609195,0.10300506448804508,0.027688050317997388
6,18,"(3, 'elcajon')",0.5432357426247313,0.6903478511425848,0.03406293448742645,0.030669029880874308
7,18,"(1, 'shafter')",1.0017420507996238,2.2662841956726254,0.1793910468882273,0.06890514909412303
8,13,"(1, 'elcajon')",0.4672828271585307,0.8023794402925744,0.08714741930222558,0.021198719128217407
9,13,"(3, 'donovan')",0.6868384457903268,0.8213612343256845,0.05850200969244296,0.027609018476371393
10,13,"(2, 'shafter')",0.6117193141349746,0.8930120641899317,0.045109001663192067,0.0284333693937646
11,12,"(1, 'elcajon')",0.587825552552075,0.9016114167594212,0.109628424002491,0.023820409929381912
12,12,"(3, 'donovan')",0.6862432730073162,0.847030173276858,0.05785358108612592,0.02833104867662107
13,12,"(2, 'shafter')",0.6387366587757862,0.946143244842746,0.0475184937441133,0.029920440537809446
14,20,"(2, 'donovan')",0.9790516044061304,1.107170737547893,0.09429079294062027,0.02596512558439918
15,20,"(3, 'elcajon')",0.5102264728046457,0.6143871182233255,0.03198188095221557,0.02730819238343495
16,15,"(2, 'donovan')",1.2525042978510745,1.4746526944860905,0.11791534127665582,0.03434599143226147
17,15,"(3, 'elcajon')",0.5228664616926301,0.6759428987883758,0.032960278578565934,0.029971190221567853
18,15,"(1, 'shafter')",0.6103431878770048,1.0404902073790723,0.0903819120386408,0.03171078570333997
19,19,"(2, 'elcajon')",0.6209609660574413,1.1141375046624395,0.05529369358896649,0.02919332522136868
20,19,"(3, 'shafter')",0.599770329295342,0.6615858181197747,0.04381724604504672,0.029013170110636855
21,19,"(1, 'donovan')",0.7318747535294582,1.4369578200173518,0.17389277214549406,0.03794051736345387
22,21,"(2, 'elcajon')",0.6233770234986946,1.076748498694517,0.05550883229679574,0.02821363518637972
23,21,"(3, 'shafter')",0.5688217676164476,0.6972437911619178,0.041556245999549886,0.030576914086607187
24,21,"(1, 'donovan')",0.6570512027762441,1.3066303178484109,0.15611476491201767,0.0344994331575747
