,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,17,"(2, 'elcajon')",-0.2675953586812394,-0.391166652613669,-0.024295665383156972,-0.00826306850879574
1,17,"(3, 'shafter')",-0.24600548444035475,-0.25150860925087226,-0.01796974623460909,-0.013555321536622866
2,18,"(3, 'elcajon')",-0.16244722931371403,-0.2189883663385377,-0.009852541182633012,-0.009080717690924445
3,18,"(2, 'donovan')",-0.31209202586206963,-0.228639303959131,-0.0233156938829725,-0.0067440542434267226
4,18,"(1, 'shafter')",-0.12354813421135091,-0.14074212919410556,-0.03429456734110492,-0.005962472286806186
5,19,"(2, 'elcajon')",-0.22783142794976996,-0.3382287050851671,-0.016461525377638286,-0.00645549237527418
6,19,"(1, 'donovan')",-0.10592215124589366,-0.35073324466157807,-0.0207387765694097,-0.007865620031647702
7,19,"(3, 'shafter')",-0.17106840286926595,-0.19992113002111545,-0.012493957275254042,-0.012718924563759448
8,20,"(3, 'elcajon')",-0.26243109107670115,-0.2841164668832157,-0.01677703985269846,-0.01116448667583092
9,20,"(2, 'donovan')",-0.4492881944444438,-0.4102498802681982,-0.03777684347548721,-0.010358721557854195
10,21,"(2, 'elcajon')",-0.2281120974760662,-0.3596560269799838,-0.016504541209569956,-0.007321897886908374
11,21,"(1, 'donovan')",-0.1559586827950774,-0.2506195865954526,-0.033685804992716895,-0.005485957413602388
12,21,"(3, 'shafter')",-0.1622984166624617,-0.16592637913430863,-0.011853478103307613,-0.010739781962998296
13,11,"(3, 'donovan')",-0.2729721999953165,-0.2961204802228732,-0.017649250230345248,-0.010910689988138655
14,11,"(2, 'shafter')",-0.15075868797457126,-0.313087806816176,-0.008082409714000816,-0.01037014155793653
15,11,"(1, 'elcajon')",-0.1706347332271423,-0.2842400793977209,-0.02300928498186805,-0.007689475019213132
16,12,"(3, 'donovan')",-0.2806741781235207,-0.23765515959497474,-0.01867729225692072,-0.008540039242210473
17,12,"(2, 'shafter')",-0.14324805827978793,-0.15985899278548032,-0.01112527023583082,-0.006090752432631463
18,12,"(1, 'elcajon')",-0.12273944941171777,-0.17566244698581812,-0.013024312943941463,-0.004798996121972654
19,13,"(3, 'donovan')",-0.3316144746409888,-0.33972155455901376,-0.02223747053338543,-0.01139560666919312
20,13,"(2, 'shafter')",-0.18728590832252046,-0.2201872724363323,-0.015347333406222907,-0.0045507569187443475
21,13,"(1, 'elcajon')",-0.13931609017620827,-0.20742749798838656,-0.016913617189802,-0.005657002115155602
22,15,"(3, 'elcajon')",-0.16319181470457877,-0.2512516949189578,-0.007798393299173367,-0.012566822121273247
23,15,"(2, 'donovan')",-0.2586150083910006,-0.33369010573206737,-0.023232312472897643,-0.007496312226543456
24,15,"(1, 'shafter')",-0.14165130916288682,-0.29024922311756995,-0.019630737207213977,-0.011251967572284971
